timestamp(ms),GPA[0].HAcc,GPS[0].NSats
202983.34600000002,0.58,20
203083.34600000002,0.58,21
203183.34600000002,0.58,21
203283.34600000002,0.58,20
203383.34600000002,0.58,20
203483.34600000002,0.58,19
203583.34600000002,0.58,19
203683.34600000002,0.58,19
203783.34600000002,0.58,19
203883.34600000002,0.58,20
203983.34600000002,0.58,20
204083.34600000002,0.58,20
204183.34600000002,0.58,20
204283.34600000002,0.58,21
204383.34600000002,0.58,21
204483.34600000002,0.58,21
204583.34600000002,0.58,21
204683.34600000002,0.58,20
204783.34600000002,0.58,20
204883.34600000002,0.58,20
204983.34600000002,0.58,20
205083.34600000002,0.58,20
205183.34600000002,0.58,20
205283.34600000002,0.58,20
205383.34600000002,0.58,20
205483.34600000002,0.58,20
205583.34600000002,0.58,20
205683.34600000002,0.58,21
205783.34600000002,0.58,21
205883.34600000002,0.58,20
205983.34600000002,0.58,20
206083.34600000002,0.58,20
206183.34600000002,0.58,20
206283.34600000002,0.57,20
206383.34600000002,0.57,20
206483.34600000002,0.57,21
206583.34600000002,0.57,21
206683.34600000002,0.57,21
206783.34600000002,0.57,21
206883.34600000002,0.57,20
206983.34600000002,0.57,20
207083.34600000002,0.57,19
207183.34600000002,0.57,19
207283.34600000002,0.57,19
207383.34600000002,0.57,19
207483.34600000002,0.58,19
207583.34600000002,0.58,19
207683.34600000002,0.58,19
207783.34600000002,0.58,19
207883.34600000002,0.58,19
207983.34600000002,0.58,19
208083.34600000002,0.58,20
208183.34600000002,0.58,20
208283.34600000002,0.58,21
208383.34600000002,0.58,21
208483.34600000002,0.57,20
208583.34600000002,0.57,20
208683.34600000002,0.57,20
208783.34600000002,0.57,20
208883.34600000002,0.57,20
208983.34600000002,0.57,20
209083.34600000002,0.57,21
209183.34600000002,0.57,21
209283.34600000002,0.57,20
209383.34600000002,0.57,20
209483.34600000002,0.57,20
209583.34600000002,0.57,20
209683.34600000002,0.57,20
209783.34600000002,0.57,20
209883.34600000002,0.57,20
209983.34600000002,0.57,20
210083.34600000002,0.57,19
210183.34600000002,0.57,19
210283.34600000002,0.57,21
210383.34600000002,0.57,21
210483.34600000002,0.57,20
210583.34600000002,0.57,20
210683.34600000002,0.57,20
210783.34600000002,0.57,20
210883.34600000002,0.57,21
210983.34600000002,0.57,21
211083.34600000002,0.57,19
211183.34600000002,0.57,19
211283.34600000002,0.57,21
211383.34600000002,0.57,21
211483.34600000002,0.57,21
211583.34600000002,0.57,21
211683.34600000002,0.57,20
211783.34600000002,0.57,20
211883.34600000002,0.57,20
211983.34600000002,0.57,20
212083.34600000002,0.57,20
212183.34600000002,0.57,20
212283.34600000002,0.57,20
212383.34600000002,0.57,20
212483.34600000002,0.57,20
212583.34600000002,0.57,20
212683.34600000002,0.57,21
212783.34600000002,0.57,21
