timestamp(ms),RFND[0].Dist
1144078.2008873927,1.45
1144178.2008873927,1.55
1144278.2008873927,1.44
1144378.2008873927,1.49
1144478.2008873927,1.52
1144578.2008873927,1.51
1144678.2008873927,1.61
1144778.2008873927,1.49
1144878.2008873927,1.45
1144978.2008873927,1.52
1145078.2008873927,1.53
1145178.2008873927,1.48
1145278.2008873927,1.48
1145378.2008873927,1.48
1145478.2008873927,1.45
1145578.2008873927,1.44
1145678.2008873927,1.46
1145778.2008873927,1.43
1145878.2008873927,1.44
1145978.2008873927,1.45
1146078.2008873927,1.4
1146178.2008873927,1.49
1146278.2008873927,1.44
1146378.2008873927,1.41
1146478.2008873927,1.44
1146578.2008873927,1.46
1146678.2008873927,1.46
1146778.2008873927,1.49
1146878.2008873927,1.37
1146978.2008873927,1.55
1147078.2008873927,1.46
1147178.2008873927,1.47
1147278.2008873927,1.45
1147378.2008873927,1.51
1147478.2008873927,1.48
1147578.2008873927,1.61
1147678.2008873927,1.52
1147778.2008873927,1.39
1147878.2008873927,1.63
1147978.2008873927,1.44
1148078.2008873927,1.48
1148178.2008873927,1.48
1148278.2008873927,1.47
1148378.2008873927,1.5
1148478.2008873927,1.58
1148578.2008873927,1.43
1148678.2008873927,1.68
1148778.2008873927,1.53
1148878.2008873927,1.66
1148978.2008873927,1.62
1149078.2008873927,1.57
1149178.2008873927,1.57
1149278.2008873927,1.62
1149378.2008873927,1.78
1149478.2008873927,1.62
1149578.2008873927,1.62
1149678.2008873927,1.62
1149778.2008873927,1.74
1149878.2008873927,1.66
1149978.2008873927,1.79
1150078.2008873927,1.75
1150178.2008873927,1.77
1150278.2008873927,1.69
1150378.2008873927,1.78
1150478.2008873927,1.76
1150578.2008873927,1.75
1150678.2008873927,1.76
1150778.2008873927,1.84
1150878.2008873927,1.74
1150978.2008873927,1.73
1151078.2008873927,1.73
1151178.2008873927,1.73
1151278.2008873927,1.82
1151378.2008873927,1.8
1151478.2008873927,1.8
1151578.2008873927,1.8
